Lfd. Nr.;Relevent WP years;FGE;series;Fangort bzw. Strom km;Habitat;Fangdatum;Toetungs-datum;Bearbeitungs-datum;Fangmonat;Fangjahr;Quartal;gear;Masse (g) gemessen;Laenge (cm) gemessen;G/B;Kopf;Neuromast;Auge v (mm);Auge h (mm);Brustfl.  (mm);Fett (%-Fatmeter Eel-1, ggf. korrigiert (aus eel-2?));Fett (%, Eel-2);Fett (%, keine Angabe des Programms) ;Otolithen;Sex;Leber (g);Eingeweide (g);Gonadengewicht (g);Schwimmblase (binär);Gewicht Schwimmblase (g);Galle (binär);Muskel;Hirn;TK;representative ;Bemerkungen;Wissenschaftler/Protokollant;Lagerung;Hälterung;Extra ID (Polen ID, Florian Id);Fett % (Labor);Fett (% hinter Anus);Muskel (binär);Muskelgewicht (g);DNA /Gewebeprobe (binär);Fettbeprobung (binär);Vollbeprobung;Leber Histo #;Blut Nr. ;Length (mm)  corrected;Length (cm) corrected;Length class (1cm);Length class (2cm);Length class (5cm);Length class (10cm);Mass (g) corrected;eye_diam_avg ;S1;SF2;SF3;SF4;SF5;SM2 (6);Stage (s.i.);Y/S nach Durif;Pankhurst ;Y/S nach Pankhurst;GSI;HSI;Age (y);Quality of age reading;PCB  (pg TEQ/g ww);Quecksilber Muskel (µg/kg ww);Quecksilber Leber;Pb Muskel (µg/kg dw) ;Cd Muskel (µg/kg dw);PAHs Pyr/380 (regional);PAHs Pyr/ml (physiologisch);A380;EROD;GST;Pseudodactylogyrus (n gesamt);Anguillicola cr. (n gesamt);Hartmannklasse
1;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;28.04.2011;28.04.2011;4;2011;2;Reuse;178;52;g;p;1;5.2;5.2;21.8;17.6;18.7;NA;2;u;1.1;NA;NA;1;NA;NA;;;NA;NA;Leber fehlt, Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;520;52;52;52;50;50;178;5.2;87.56;91.20;87.11;71.66;78.15;77.96;2;y;4.08407045;y;#WERT!;0.617977528;6;1;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;2;2
2;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;28.04.2011;28.04.2011;4;2011;2;Reuse;460;63;g;b;1;7.45;7.55;30.85;22.3;23.6;NA;2;f;5.2;NA;NA;1;NA;NA;;;NA;NA;Leber fehlt, Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;630;63;63;62;60;60;460;7.5;102.04;110.24;113.74;105.75;111.65;104.43;3;y;7.012483602;s;#WERT!;1.130434783;8;3;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;2;3
3;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;28.04.2011;28.04.2011;4;2011;2;Reuse;129;47;g;n;NA;4.9;3.8;20.4;27.9;28.7;NA;2;u;1.3;NA;NA;1;NA;NA;;;NA;NA;Leber fehlt, Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;470;47;47;46;45;40;129;4.35;75.18;76.22;69.94;53.72;59.53;62.65;2;y;3.162063138;y;#WERT!;1.007751938;7;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;1
4;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;28.04.2011;28.04.2011;4;2011;2;Reuse;90;41;g;b;1;4.1;4.6;16.9;14.4;15.3;NA;2;u;1.1;NA;NA;1;NA;NA;;;NA;NA;Leber fehlt, Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;410;41;41;40;40;40;90;4.35;62.73;61.00;53.95;40.35;43.94;52.08;1;y;3.624804085;y;#WERT!;1.222222222;6;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;3
5;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;28.04.2011;28.04.2011;4;2011;2;Reuse;355;60;g;b;1;5.8;5.7;22.3;31.9;32.9;NA;1;f;3.7;NA;NA;1;NA;NA;;;NA;NA;Leber fehlt, Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;600;60;60;60;60;60;355;5.75;91.17;96.02;92.63;78.18;81.22;78.88;2;y;4.32787113;y;#WERT!;1.042253521;7;3;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;1
6;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;28.04.2011;28.04.2011;4;2011;2;Reuse;168;49;g;n;1;5.5;5.5;17.2;21.3;22.5;NA;0;f;1.8;NA;NA;1;NA;NA;;;NA;NA;Leber fehlt, Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;490;49;49;48;45;40;168;5.5;80.22;82.01;77.27;64.14;67.62;71.55;2;y;4.848631519;y;#WERT!;1.071428571;NA;6;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;1;2
7;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;28.04.2011;28.04.2011;4;2011;2;Reuse;82;40;g;n;1;4.4;4.6;12.9;12;12.7;NA;2;f;1;NA;NA;1;NA;NA;;;NA;NA;Leber fehlt, Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;400;40;40;40;40;40;82;4.5;59.55;56.79;48.81;35.91;37.20;47.90;1;y;3.976078202;y;#WERT!;1.219512195;4;1;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;2;2
8;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;28.04.2011;28.04.2011;4;2011;2;Reuse;107;43;g;b;1;4.8;4.8;13.7;10.3;11.2;NA;1;u;1;NA;NA;1;NA;NA;;;NA;NA;Leber fehlt, Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;430;43;43;42;40;40;107;4.8;66.26;64.90;57.71;44.51;46.27;54.98;1;y;4.20827295;y;#WERT!;0.934579439;6;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;5;2
9;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;28.04.2011;28.04.2011;4;2011;2;Reuse;82;40;g;n;1;4.8;4.8;14.5;13.8;14.6;NA;2;u;1.7;NA;NA;1;NA;NA;;;NA;NA;Leber fehlt, Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;400;40;40;40;40;40;82;4.8;62.19;60.12;53.43;41.53;43.87;53.64;1;y;4.523893421;y;#WERT!;2.073170732;5;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;2
10;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;28.04.2011;28.04.2011;4;2011;2;Reuse;478;67;g;b;1;6.5;6.3;20;34.6;35.7;NA;2;f;7.9;NA;NA;1;NA;NA;;;NA;NA;Leber fehlt, Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;670;67;67;66;65;60;478;6.4;97.01;103.05;99.81;85.87;85.37;81.90;2;y;4.801478921;y;#WERT!;1.652719665;7;1;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;4
11;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;577;68;g;b;2;7.3;7.7;25.3;30.7;31.7;NA;2;f;6;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;680;68;68;68;65;60;577;7.5;98.10;105.26;106.32;97.77;97.74;92.47;3;y;6.496859808;y;#WERT!;1.039861352;9;3;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;2
12;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;134;46;g;n;1;5.1;5.7;17.3;14;14.8;NA;2;u;1.4;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;460;46;46;46;45;40;134;5.4;76.14;77.10;72.40;60.01;63.92;69.12;2;y;4.978741401;y;#WERT!;1.044776119;5;1;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;18;2
13;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;236;53;g;b;1;5.6;5.5;20.5;30.1;31;NA;2;f;2.9;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;530;53;53;52;50;50;236;5.55;84.86;88.04;84.19;70.53;74.69;75.59;2;y;4.564571118;y;#WERT!;1.228813559;5;1;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;1
14;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;101;43;g;n;1;4.6;4.3;12.5;13.5;14.3;NA;2;u;0.8;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;430;43;43;42;40;40;101;4.45;64.23;62.33;53.86;39.39;40.53;49.85;1;y;3.616941193;y;#WERT!;0.792079208;4;1;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;1
15;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;401;63;g;b;1;6.4;6.4;21.9;20.9;22.1;NA;2;f;5.7;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;630;63;63;62;60;60;401;6.4;96.82;102.83;100.64;87.41;89.63;86.25;2;y;5.106334726;y;#WERT!;1.421446384;6;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;3
16;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;115;43;g;n;1;4.6;4.5;14;17.5;18.6;NA;2;u;2;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;430;43;43;42;40;40;115;4.55;64.19;62.49;54.77;41.01;42.60;51.39;1;y;3.781326855;y;#WERT!;1.739130435;4;1;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;1;2
17;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;402;67;g;b;1;7.4;7.8;24.7;21.1;22.3;NA;2;f;5.6;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;670;67;67;66;65;60;402;7.6;114.76;124.44;125.95;114.10;119.27;111.46;3;y;6.77083551;s;#WERT!;1.393034826;6;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;2
18;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;137;47;g;n;1;4.6;5.1;19;19.1;20.3;NA;2;u;1.3;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;470;47;47;46;45;40;137;4.85;76.23;77.36;71.82;57.27;62.15;66.02;2;y;3.930750702;y;#WERT!;0.948905109;8;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;7;3
19;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;99;41;g;n;1;3.8;3.7;12.4;20.3;21.5;NA;1;u;1.1;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;410;41;41;40;40;40;99;3.75;55.66;52.13;42.02;26.58;27.02;37.88;1;y;2.69381992;y;#WERT!;1.111111111;4;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;2
20;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;411;63;g;p;1;6.9;7.2;26.1;31.7;32.7;NA;2;f;5;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;630;63;63;62;60;60;411;7.05;101.92;109.40;110.25;99.47;104.04;98.47;3;y;6.196230511;y;#WERT!;1.216545012;11;1;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;1;2
21;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;428;63;g;b;1;5.6;4.9;26.6;34.5;35.6;NA;2;f;4;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;630;63;63;62;60;60;428;5.25;90.41;95.77;92.29;76.40;80.13;75.15;2;y;3.436116965;y;#WERT!;0.934579439;10;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;2
22;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;140;46;g;n;1;4.4;4.1;15.3;20;21.2;NA;2;u;2;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;460;46;46;46;45;40;140;4.25;67.89;67.05;58.80;42.92;45.08;51.79;1;y;3.083968332;y;#WERT!;1.428571429;6;3;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;2
23;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;309;56;g;n;1;5.6;5.9;20.2;36.1;37.2;NA;2;f;7.2;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;560;56;56;56;55;50;309;5.75;85.16;88.57;84.79;71.62;73.97;74.46;2;y;4.637004782;y;#WERT!;2.330097087;6;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;1;2
24;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;478;67;g;n;1;5.7;6.4;27.3;33;34;NA;2;f;7.9;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;670;67;67;66;65;60;478;6.05;99.56;106.85;105.25;90.58;94.29;87.07;2;y;4.290677056;y;#WERT!;1.652719665;7;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;2;2
25;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;134;47;g;n;1;4.6;4.5;18.1;16.4;17.5;NA;2;f;1.9;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;470;47;47;46;45;40;134;4.55;74.34;75.00;68.40;52.82;57.17;61.54;2;y;3.459511804;y;#WERT!;1.417910448;6;3;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;2
26;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;164;49;g;n;1;6.1;6.1;17.2;14.2;15;NA;2;u;2;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;490;49;49;48;45;40;164;6.1;83.98;86.48;83.25;71.87;75.67;79.35;2;y;5.964217482;y;#WERT!;1.219512195;10;3;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;1
27;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;597;71;g;b;1;8.5;7.6;31.2;27.8;28.6;NA;2;f;10.1;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;710;71;71;70;70;70;597;8.05;109.87;119.93;124.16;116.21;119.90;109.79;3;y;7.168417533;s;#WERT!;1.691792295;10;3;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;4
28;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;105;44;g;n;1;4.3;4.3;16.4;21.3;22.5;NA;2;u;1.7;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;440;44;44;44;40;40;105;4.3;67.78;66.96;59.40;44.13;47.63;54.36;1;y;3.300457282;y;#WERT!;1.619047619;7;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;2
29;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;563;71;g;b;1;7.5;7.8;29.5;28.9;29.8;NA;2;f;6.7;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;710;71;71;70;70;70;563;7.65;110.28;120.11;122.83;112.75;116.42;106.65;3;y;6.473727326;y;#WERT!;1.190053286;6;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;1;2
30;before 2020;Ems;Ems;Emden/Binnenh.;T;10.-27.04.2011;29.04.2011;29.04.2011;4;2011;2;Reuse;166;49;g;n;1;4.8;4.6;18.5;17.9;19;NA;2;f;1.7;NA;NA;1;NA;NA;;;NA;NA;Muskel fehlt;MF;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;490;49;49;48;45;40;166;4.7;76.80;78.04;71.78;56.20;60.26;63.69;2;y;3.540703149;y;#WERT!;1.024096386;5;1;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;1;2
31;before 2020;Ems;Ems;Gr. Meer u. angrenzende;T;10.-27.04.2011;30.04-02.05.2011;03.05.2011;4;2011;2;Reuse;187;49;g;b;1;5.24;5.14;18;7.2;7.7;NA;2;u;2.9;NA;NA;0;NA;NA;;;NA;NA;In Hälterung gestorben, verpilzt, Leber fehlt, Muskel fehlt;JDP;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;490;49;49;48;45;40;187;5.19;76.94;78.25;72.98;59.39;62.62;66.60;2;y;4.317461932;y;#WERT!;1.550802139;8;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;;
32;before 2020;Ems;Ems;Gr. Meer u. angrenzende;T;10.-27.04.2011;30.04-02.05.2011;03.05.2011;4;2011;2;Reuse;151;46;g;n;1;4.6;4.6;18;9.3;10.1;NA;2;u;2.9;NA;NA;0;NA;NA;;;NA;NA;In Hälterung gestorben, verpilzt, Leber fehlt, Muskel fehlt;JDP;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;460;46;46;46;45;40;151;4.6;70.30;70.26;63.78;49.37;52.88;58.28;1;y;3.612831552;y;#WERT!;1.920529801;5;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;;
33;before 2020;Ems;Ems;Gr. Meer u. angrenzende;T;10.-27.04.2011;30.04-02.05.2011;03.05.2011;4;2011;2;Reuse;480;62;g;b;1;6.3;6.6;30;21.3;22.5;NA;2;f;8;NA;NA;0;NA;NA;;;NA;NA;In Hälterung gestorben, verpilzt, Leber fehlt, Muskel fehlt;JDP;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;620;62;62;62;60;60;480;6.45;91.12;97.21;97.83;87.67;91.84;86.42;3;y;5.270085015;y;#WERT!;1.666666667;6;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;;
34;before 2020;Ems;Ems;Gr. Meer u. angrenzende;T;10.-27.04.2011;30.04-02.05.2011;03.05.2011;4;2011;2;Reuse;130;44;g;n;1;NA;NA;18.3;32;33;NA;2;f;1.3;NA;NA;0;NA;NA;;;NA;NA;In Hälterung gestorben, verpilzt, Leber fehlt, Muskel fehlt;JDP;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;440;44;44;44;40;40;130;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;1;5;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;;
35;before 2020;Ems;Ems;Gr. Meer u. angrenzende;T;10.-27.04.2011;30.04-02.05.2011;03.05.2011;4;2011;2;Reuse;188;41;g;n;1;NA;NA;17.4;14.7;15.6;NA;2;f;2.9;NA;NA;0;NA;NA;;;NA;NA;In Hälterung gestorben, verpilzt, Leber fehlt, Muskel fehlt;JDP;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;410;41;41;40;40;40;188;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;1.542553191;7;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;;
36;before 2020;Ems;Ems;Gr. Meer u. angrenzende;T;10.-27.04.2011;30.04-02.05.2011;03.05.2011;4;2011;2;Reuse;524;65;b;b;1;NA;NA;32.5;34.4;35.5;NA;2;f;6.3;NA;NA;0;NA;NA;;;NA;NA;In Hälterung gestorben, verpilzt, Leber fehlt, Muskel fehlt;JDP;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;650;65;65;64;65;60;524;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;1.202290076;9;1;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;;
37;before 2020;Ems;Ems;Gr. Meer u. angrenzende;T;10.-27.04.2011;30.04-02.05.2011;03.05.2011;4;2011;2;Reuse;259;53;g;n;1;5.1;4.5;21;18.4;19.5;NA;1;f;3.5;NA;NA;0;NA;NA;;;NA;NA;In Hälterung gestorben, verpilzt, Leber fehlt;JDP;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;530;53;53;52;50;50;259;4.8;78.53;80.62;75.03;59.63;63.09;64.41;2;y;3.414259186;y;#WERT!;1.351351351;NA;6;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;;
38;before 2020;Ems;Ems;Gr. Meer u. angrenzende;T;10.-27.04.2011;30.04-02.05.2011;03.05.2011;4;2011;2;Reuse;233;53;g;n;1;5.1;5.3;22;23.4;24.6;NA;2;f;2.9;NA;NA;0;NA;NA;;;NA;NA;In Hälterung gestorben, verpilzt, rechte Seite vermessen, Leber fehlt;JDP;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;530;53;53;52;50;50;233;5.2;84.17;87.36;83.16;68.42;73.45;73.60;2;y;4.007012517;y;#WERT!;1.244635193;4;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;;
39;before 2020;Ems;Ems;Gr. Meer u. angrenzende;T;10.-27.04.2011;30.04-02.05.2011;03.05.2011;4;2011;2;Reuse;472;68;g;b;1;NA;NA;29.5;28.3;29.1;NA;2;f;5;NA;NA;0;NA;NA;;;NA;NA;In Hälterung gestorben, verpilzt, Leber fehlt;JDP;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;680;68;68;68;65;60;472;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;1.059322034;9;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;;
40;before 2020;Ems;Ems;Gr. Meer u. angrenzende;T;10.-27.04.2011;30.04-02.05.2011;03.05.2011;4;2011;2;Reuse;187;43;g;n;1;5.8;6.44;18.9;12.5;13.2;NA;2;m;3;NA;NA;0;NA;NA;;;NA;NA;In Hälterung gestorben, verpilzt, Leber fehlt, Otos bei Janek;JDP;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;430;43;43;42;40;40;187;6.12;68.13;68.01;65.72;58.75;61.37;68.57;6;sm;6.841073714;s;#WERT!;1.604278075;6;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;;
41;before 2020;Ems;Ems;Gr. Meer u. angrenzende;T;10.-27.04.2011;03.05.2011;03.05.2011;4;2011;2;Reuse;527;65;g;b;1;7.6;8.4;28;28.2;29;NA;2;f;7.1;NA;NA;1;NA;NA;;;NA;NA;NA;JDP;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;650;65;65;64;65;60;527;8;100.67;108.51;112.02;105.80;108.44;102.60;3;y;7.733151147;s;#WERT!;1.347248577;12;3;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;3
42;before 2020;Ems;Ems;Gr. Meer u. angrenzende;T;10.-27.04.2011;03.05.2011;03.05.2011;4;2011;2;Reuse;266;53;g;b;1;5.5;6.1;25;23.3;24.5;NA;1;f;4.1;NA;NA;1;NA;NA;;;NA;NA;Schwimm- und Gallenblase geplatzt;JDP;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;530;53;53;52;50;50;266;5.8;85.77;89.72;87.98;76.02;81.93;80.99;2;y;4.985055513;y;#WERT!;1.541353383;7;1;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;3;2
43;before 2020;Ems;Ems;Gr. Meer u. angrenzende;T;10.-27.04.2011;03.05.2011;03.05.2011;4;2011;2;Reuse;717;79;g;n;1;7.9;7.9;35;22.7;24;NA;2;f;7.1;NA;NA;1;NA;NA;;;NA;NA;NA;JDP;Ahrensburg -20°C;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;790;79;79;78;75;70;717;7.9;117.77;130.00;134.45;124.14;127.98;113.04;3;y;6.204645491;y;#WERT!;0.990237099;15;2;#NV;#NV;#NV;;;#NV;#NV;#NV;#NV;#NV;;0;3
